Section,Check,What good looks like,Severity,Auto-detected,PMD / Analyzer rule,Reference,Status,Reviewer notes
Code Quality,No unused variables / dead code,Unused vars and commented-out blocks removed,Low,Yes,UnusedLocalVariable,PMD Apex rules,,
Code Quality,Reusable logic extracted,Shared logic in service/util classes; DRY,Low,No,,Enterprise Patterns,,
AI-Generated Code,AI code reviewed as a first draft,Same review bar as human code; not rubber-stamped,Critical,No,,Talk: AI slop,,
AI-Generated Code,SOQL-in-loop pattern explicitly verified,AI reproduces this by default; check every AI PR,Critical,Yes,AvoidSoqlInLoops,Talk: AI slop,,
AI-Generated Code,"Edge cases verified, not just happy path",AI often handles happy path and swallows edge cases,High,No,,Talk: AI slop,,
AI-Generated Code,No hallucinated / outdated APIs,Referenced classes and methods exist and are current,High,No,,Agentforce Vibes governance,,
AI-Generated Code,Deterministic gate on every change,Code Analyzer runs on human and AI changes alike,High,Yes,,Code Analyzer v5,,
Deploy Hygiene,Passes Code Analyzer (no new high-severity),code-analyzer run gate on the PR,Critical,Yes,,Code Analyzer v5,,
Deploy Hygiene,Nothing environment-specific,No IDs/URLs/usernames tied to one org,Critical,Partial,,Deployment Checklist,,
Deploy Hygiene,Debug statements removed,No leftover System.debug in shipped code,Low,No,,Apex Performance,,
